image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,agriculture clear primary cultivation
test_4,partly_cloudy cloudy primary
test_5,clear primary
test_6,agriculture habitation haze clear road primary cultivation
test_7,agriculture water habitation clear road primary
test_8,clear primary
test_9,agriculture haze clear primary cultivation
test_10,partly_cloudy water primary
test_11,agriculture clear primary cultivation
test_12,cloudy
test_13,agriculture clear road primary cultivation
test_14,agriculture clear primary cultivation
test_15,agriculture clear primary
test_16,agriculture habitation clear road primary cultivation
test_17,partly_cloudy primary
test_18,clear primary
test_19,water clear road primary
test_20,agriculture water clear road primary cultivation
test_21,agriculture water clear primary
test_22,agriculture habitation clear road primary cultivation
test_23,cloudy
test_24,agriculture partly_cloudy road primary
test_25,clear primary
test_26,agriculture partly_cloudy habitation road primary
test_27,agriculture clear road primary
test_28,agriculture partly_cloudy water clear road primary
test_29,clear primary
test_30,agriculture partly_cloudy primary
test_31,cloudy
test_32,clear primary
test_33,agriculture water clear road primary
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,agriculture water clear primary cultivation
test_40,water clear primary
test_41,agriculture partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,agriculture clear primary cultivation
test_45,agriculture water haze road primary
test_46,agriculture water haze clear primary
test_47,clear primary
test_48,clear primary
test_49,agriculture water haze clear road primary
test_50,clear primary
test_51,agriculture water clear primary cultivation
test_52,agriculture habitation clear road primary
test_53,agriculture water habitation clear road primary cultivation
test_54,clear primary
test_55,partly_cloudy primary
test_56,clear primary
test_57,agriculture water clear road primary
test_58,clear primary
test_59,agriculture habitation clear road primary
test_60,agriculture clear primary
test_61,cloudy
test_62,agriculture clear road primary
test_63,clear primary
test_64,agriculture clear primary cultivation
test_65,clear primary
test_66,clear primary
test_67,agriculture water habitation clear road primary
test_68,cloudy
test_69,agriculture clear primary cultivation
test_70,clear primary
test_71,partly_cloudy primary
test_72,agriculture water clear road primary
test_73,agriculture partly_cloudy water clear road primary
test_74,partly_cloudy primary
test_75,agriculture partly_cloudy road primary cultivation
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,agriculture clear primary cultivation
test_80,haze primary
test_81,cloudy haze primary
test_82,agriculture clear primary cultivation
test_83,water clear selective_logging road primary
test_84,agriculture water clear road primary
test_85,agriculture water clear road primary
test_86,clear primary
test_87,partly_cloudy primary
test_88,agriculture clear primary cultivation
test_89,cloudy
test_90,cloudy
test_91,agriculture clear primary cultivation
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,agriculture partly_cloudy clear road primary cultivation
test_96,partly_cloudy cloudy haze primary
test_97,clear primary
test_98,partly_cloudy primary
test_99,water cloudy clear
test_100,agriculture water clear road primary
test_101,agriculture habitation clear road primary
test_102,clear primary
test_103,agriculture water clear primary
test_104,partly_cloudy primary
test_105,clear primary
test_106,haze clear primary
test_107,water clear road primary
test_108,agriculture partly_cloudy habitation road primary cultivation
test_109,agriculture partly_cloudy water primary
test_110,partly_cloudy primary
test_111,partly_cloudy primary
test_112,agriculture partly_cloudy primary cultivation
test_113,clear primary
test_114,agriculture water clear primary cultivation
test_115,agriculture clear road primary cultivation
test_116,agriculture partly_cloudy water road primary
test_117,partly_cloudy water clear primary
test_118,agriculture water habitation clear road primary
test_119,clear primary
test_120,agriculture water clear road primary
test_121,clear primary
test_122,clear primary
test_123,partly_cloudy primary
test_124,partly_cloudy clear primary
test_125,partly_cloudy primary
test_126,agriculture clear primary cultivation
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,water clear primary
test_133,agriculture haze clear primary cultivation
test_134,agriculture clear road primary cultivation
test_135,agriculture habitation clear road primary
test_136,clear primary
test_137,agriculture clear primary cultivation
test_138,agriculture partly_cloudy road primary
test_139,partly_cloudy clear primary
test_140,agriculture clear road primary cultivation
test_141,clear primary
test_142,clear primary
test_143,agriculture habitation clear road primary
test_144,agriculture haze clear road primary cultivation
test_145,agriculture water clear road primary cultivation
test_146,agriculture habitation clear road primary cultivation
test_147,agriculture clear primary cultivation
test_148,partly_cloudy primary
test_149,partly_cloudy primary
test_150,agriculture habitation clear road primary cultivation
test_151,water clear primary
test_152,agriculture water habitation clear road primary
test_153,clear primary
test_154,clear primary
test_155,agriculture clear road primary cultivation
test_156,agriculture partly_cloudy primary
test_157,agriculture water clear primary
test_158,clear primary
test_159,agriculture partly_cloudy water primary
test_160,agriculture haze clear road primary
test_161,clear primary
test_162,water cloudy clear primary
test_163,partly_cloudy cloudy haze primary
test_164,haze clear primary
test_165,partly_cloudy haze primary
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,agriculture partly_cloudy road primary
test_171,water cloudy clear
test_172,cloudy
test_173,clear primary
test_174,agriculture water clear road primary
test_175,clear primary
test_176,partly_cloudy primary
test_177,partly_cloudy water primary
test_178,haze primary
test_179,agriculture water clear bare_ground road primary
test_180,partly_cloudy primary
test_181,agriculture clear road primary cultivation
test_182,partly_cloudy primary
test_183,haze primary
test_184,clear primary
test_185,agriculture partly_cloudy habitation clear road primary
test_186,agriculture habitation clear road primary
test_187,agriculture partly_cloudy water road primary
test_188,agriculture water clear road primary cultivation
test_189,agriculture clear road primary cultivation
test_190,agriculture clear road primary
test_191,clear primary
test_192,clear primary
test_193,agriculture water clear road primary cultivation
test_194,agriculture water habitation clear road primary
test_195,agriculture water clear primary
test_196,clear primary
test_197,clear primary
test_198,agriculture partly_cloudy water habitation road primary
test_199,agriculture habitation clear road primary cultivation
test_200,clear primary
test_201,haze primary
test_202,artisinal_mine water clear road primary
test_203,artisinal_mine water clear road primary
test_204,agriculture clear primary cultivation
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,haze clear primary
test_209,clear primary
test_210,clear primary
test_211,agriculture water habitation clear road primary
test_212,agriculture partly_cloudy water habitation road primary
test_213,agriculture habitation clear road primary cultivation
test_214,partly_cloudy clear primary
test_215,agriculture water clear road primary
test_216,agriculture clear bare_ground primary
test_217,agriculture clear primary cultivation
test_218,agriculture clear road primary
test_219,agriculture water clear road primary cultivation
test_220,cloudy
test_221,agriculture partly_cloudy water clear road primary
test_222,cloudy
test_223,clear primary
test_224,agriculture habitation clear road primary cultivation
test_225,clear primary
test_226,clear primary
test_227,agriculture water clear primary
test_228,agriculture water clear road primary
test_229,agriculture water habitation clear road primary cultivation
test_230,agriculture partly_cloudy clear road primary
test_231,partly_cloudy cloudy primary
test_232,haze clear primary
test_233,clear primary
test_234,partly_cloudy clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,agriculture partly_cloudy water road primary
test_239,agriculture clear primary cultivation
test_240,agriculture habitation clear road primary
test_241,agriculture partly_cloudy water habitation road primary
test_242,agriculture water habitation clear road primary cultivation
test_243,artisinal_mine agriculture water habitation clear road primary
test_244,clear primary
test_245,clear primary
test_246,water clear road primary
test_247,clear primary
test_248,agriculture water habitation clear road primary cultivation
test_249,agriculture water clear road primary
test_250,agriculture water habitation clear road primary
test_251,water habitation clear road primary
test_252,water clear road primary
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,partly_cloudy clear primary
test_257,agriculture water clear road primary
test_258,clear primary
test_259,agriculture water clear road primary cultivation
test_260,clear primary
test_261,water clear selective_logging road primary
test_262,agriculture water clear road primary cultivation
test_263,agriculture water clear road primary
test_264,haze clear primary
test_265,agriculture partly_cloudy water haze road primary
test_266,agriculture partly_cloudy road primary cultivation
test_267,clear primary
test_268,agriculture clear road primary cultivation
test_269,agriculture clear road primary
test_270,agriculture water habitation clear road primary
test_271,clear primary
test_272,agriculture habitation clear road primary
test_273,haze primary
test_274,agriculture water habitation clear road primary cultivation
test_275,haze primary
test_276,agriculture clear road primary
test_277,agriculture haze clear primary cultivation
test_278,clear primary
test_279,partly_cloudy clear primary
test_280,partly_cloudy primary
test_281,agriculture clear bare_ground road primary
test_282,agriculture habitation clear road primary
test_283,clear primary
test_284,clear primary
test_285,agriculture habitation clear road primary cultivation
test_286,partly_cloudy water clear road primary
test_287,agriculture water habitation clear road primary cultivation
test_288,artisinal_mine agriculture water habitation clear road primary
test_289,agriculture water clear road primary cultivation
test_290,clear primary
test_291,agriculture habitation clear road primary cultivation
test_292,agriculture clear primary
test_293,agriculture habitation clear road primary
test_294,partly_cloudy clear primary
test_295,agriculture clear road primary
test_296,partly_cloudy primary
test_297,agriculture clear primary cultivation
test_298,agriculture partly_cloudy primary
test_299,clear primary
test_300,cloudy
test_301,agriculture clear road primary cultivation
test_302,clear primary
test_303,partly_cloudy primary
test_304,agriculture clear road primary cultivation
test_305,agriculture haze clear road primary
test_306,water clear primary
test_307,agriculture water clear primary
test_308,partly_cloudy primary
test_309,clear primary
test_310,haze clear primary
test_311,clear primary
test_312,clear primary
test_313,agriculture habitation clear road primary cultivation
test_314,cloudy
test_315,partly_cloudy clear primary
test_316,cloudy
test_317,clear primary
test_318,partly_cloudy primary
test_319,agriculture partly_cloudy road primary
test_320,clear primary
test_321,clear primary
test_322,agriculture clear primary cultivation
test_323,partly_cloudy clear primary
test_324,clear primary
test_325,agriculture clear road primary cultivation
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,agriculture habitation clear road primary
test_330,clear primary
test_331,haze primary
test_332,clear primary
test_333,agriculture habitation clear road primary
test_334,cloudy
test_335,agriculture partly_cloudy water primary
test_336,partly_cloudy clear primary
test_337,agriculture clear road primary
test_338,agriculture water clear road primary
test_339,partly_cloudy clear primary
test_340,agriculture water clear road primary
test_341,agriculture water clear road primary cultivation
test_342,cloudy haze primary
test_343,agriculture clear road primary
test_344,agriculture water clear road primary
test_345,agriculture partly_cloudy water road primary
test_346,clear primary
test_347,agriculture water clear road primary
test_348,agriculture water haze clear road primary
test_349,agriculture clear road primary
test_350,agriculture water clear road primary
test_351,clear primary
test_352,water clear primary
test_353,water cloudy clear
test_354,clear primary
test_355,clear primary
test_356,agriculture clear road primary
test_357,clear primary
test_358,haze primary
test_359,water clear road primary
test_360,agriculture clear road primary cultivation
test_361,cloudy
test_362,agriculture habitation clear road primary
test_363,agriculture partly_cloudy habitation road primary
test_364,agriculture clear road primary
test_365,clear primary
test_366,agriculture habitation clear road primary
test_367,agriculture water haze clear road primary
test_368,clear primary
test_369,agriculture habitation clear road primary
test_370,clear primary
test_371,clear primary
test_372,agriculture clear road primary
test_373,cloudy haze primary
test_374,agriculture water haze road primary
test_375,partly_cloudy primary
test_376,clear primary
test_377,partly_cloudy primary
test_378,agriculture partly_cloudy water primary
test_379,haze primary
test_380,agriculture partly_cloudy habitation clear road primary cultivation
test_381,clear primary
test_382,agriculture partly_cloudy water road primary
test_383,artisinal_mine water habitation clear road primary
test_384,agriculture clear primary
test_385,agriculture partly_cloudy road primary
test_386,clear primary
test_387,clear primary
test_388,agriculture water clear bare_ground road primary
test_389,agriculture haze clear road primary
test_390,agriculture habitation clear road primary cultivation
test_391,clear primary
test_392,agriculture partly_cloudy primary
test_393,agriculture clear road primary cultivation
test_394,clear primary
test_395,agriculture habitation clear road primary cultivation
test_396,clear primary
test_397,clear primary
test_398,agriculture water clear road primary
test_399,agriculture water clear road primary
test_400,clear primary
test_401,agriculture clear primary cultivation
test_402,cloudy haze primary
test_403,clear primary
test_404,agriculture clear primary cultivation
test_405,water clear primary
test_406,haze primary
test_407,clear primary
test_408,agriculture water clear primary
test_409,clear primary
test_410,cloudy
test_411,agriculture habitation clear road primary
test_412,agriculture water clear primary cultivation
